N.S. Engineering & Geo-Technical Services Pvt. Ltd. ,,,,,,,,,,,,,,,,,
"Dhobighat, Lalitpur, Nepal",,,,,,,,,,,,,,,,,
Vat No. 603565542,,,,,,,,,,,,,,,,,
"Equipments, Macine & Jinsi Purchase :-                                     ",,,,,,,,,,,,,,,,,
S. No.,Date,Department,Bill No.,Pan No.,Description,Parti's Name,Quantity,Unit, Rate , Taxable Amount , Vat 13% , Amount with Vat , Year in Use  ,Depreciation in %, Depreciation , Depreciated Value , Remarks 
237,2079.05.06,Rebar Section,65,606906850,AIMIL 25R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 11,555.00 "," 11,555.00 "," 1,502.15 "," 13,057.15 ",,, -   ," 13,057.15 ",
238,2079.05.06,Rebar Section,65,606906850,AIMIL  Mandrill For 14R,Asian Techno Traders Pvt. Ltd.,1,Nos," 11,555.00 "," 11,555.00 "," 1,502.15 "," 13,057.15 ",,, -   ," 13,057.15 ",
239,2079.05.06,Rebar Section,65,606906850,AIMIL 32R Mandrill,Asian Techno Traders Pvt. Ltd.,1,Nos," 11,555.00 "," 11,555.00 "," 1,502.15 "," 13,057.15 ",,, -   ," 13,057.15 ",
240,2079.05.06,Rebar Section,65,606906850,AIMIL platen Adaptor,Asian Techno Traders Pvt. Ltd.,5,Nos, 910.00 ," 4,550.00 ", 591.50 ," 5,141.50 ",,, -   ," 5,141.50 ",
241,2079.05.06,Rebar Section,65,606906850,AIMIL platen ,Asian Techno Traders Pvt. Ltd.,1,Nos," 5,500.00 "," 5,500.00 ", 715.00 ," 6,215.00 ",,, -   ," 6,215.00 ",
242,2079.05.06,Rebar Section,65,606906850,AIMIL Bend Test Attachment 180 deg,Asian Techno Traders Pvt. Ltd.,1,Nos," 146,200.00 "," 146,200.00 "," 19,006.00 "," 165,206.00 ",,, -   ," 165,206.00 ",
243,2079.05.06,Rebar Section,65,606906850,"AIMIL Pair of Threaded and Shouldered Holding Heads(6mm, 8mm, 10mm, 12mm, 16mm, 18mm, 20mm)",Asian Techno Traders Pvt. Ltd.,1,Set," 62,500.00 "," 62,500.00 "," 8,125.00 "," 70,625.00 ",,,," 70,625.00 ",
244,2079.05.22,Furniture,25,301629447,Executive High Back Chair,Fourni Touch Lifestyle Pvt. Ltd.,1,Pcs," 21,648.00 "," 21,648.00 "," 2,814.24 "," 24,462.24 ",,,," 24,462.24 ",
245,2079.06.09,Electrical and Electronics,12,304205996,Laptop M2 8/256 GB,Emax Technology Pvt. Ltd.,1,Set," 173,451.33 "," 173,451.33 "," 22,548.67 "," 196,000.00 ",,,," 196,000.00 ",
246,2079.06.12,Furniture,62,300074404,Calio + Fitting,New Griha Shova Bhandar,1,," 5,570.80 "," 5,570.80 ", 724.20 ," 6,295.00 ",,,," 6,295.00 ",
247,2079.06.12,Furniture,62,300074404,Curtain,New Griha Shova Bhandar,1,Set," 1,000.00 "," 1,000.00 ", 130.00 ," 1,130.00 ",,,," 1,130.00 ",
248,2079.06.24,Cement and Concrete,418,300054392,Air Permability Blain Appartus AIM -390,H. G. Ent. Pvt. Ltd.,1,Nos," 9,500.00 "," 9,500.00 "," 1,235.00 "," 10,735.00 ",,,," 10,735.00 ",
249,2079.06.30,Software,220,609421466,Tally Prime Silver SAARC,Tally Nepal,1,Nos," 32,000.00 "," 32,000.00 "," 4,160.00 "," 36,160.00 ",,,," 36,160.00 ",
250,2079.06.31,Cement and Concrete,344,300054392,Gauging Trowel 140-150 MM,H.G. ENT PVT.LTD.,2,Nos," 1,045.00 "," 2,090.00 ", 271.70 ," 2,361.70 ",,,," 2,361.70 ",
251,2079.07.01,Pile,137,614609558,Generator,Gautam Machinery Suppliers,1,Pcs," 35,398.23 "," 35,398.23 "," 4,601.77 "," 40,000.00 ",,,," 40,000.00 ",
252,2079.07.04,,146,614609558,Rotary Hammer,Gautam Machinery Suppliers,1,Pcs," 4,500.00 "," 4,500.00 ", 585.00 ," 5,085.00 ",,,," 5,085.00 ",
253,2079.07.23,Pile,441,606673493,Stud Anchor HAS M6*85 40/30/10,VIE TEC Pvt. Ltd.,200,Pcs, 118.00 ," 23,600.00 "," 3,068.00 "," 26,668.00 ",,,," 26,668.00 ",
254,2079.07.24,Pile,125,606906850,Champ -Q Starter System w/Acesories (Cross Hole Sonic Logging WITH Champ Q- Analyzer),Asian Techno Traders Pvt. Ltd.,1,Pcs," 5,034,446.39 "," 5,034,446.39 "," 654,478.03 "," 5,688,924.42 ",,,," 5,688,924.42 ",
255,2079.08.02,Pile,125,606906850,Dial Gauge 0-50mm,Asian Techno Traders Pvt. Ltd.,2,Pcs," 4,400.00 "," 8,800.00 "," 1,144.00 "," 9,944.00 ",,,," 9,944.00 ",
256,2079.08.02,Pile,125,606906850,Dial Gauge 0-25mm,Asian Techno Traders Pvt. Ltd.,3,Pcs," 3,200.00 "," 9,600.00 "," 1,248.00 "," 10,848.00 ",,,," 10,848.00 ",
257,2079.08.02,Pile,125,606906850,Magnetic Stand,Asian Techno Traders Pvt. Ltd.,2,Pcs," 3,300.00 "," 6,600.00 ", 858.00 ," 7,458.00 ",,,," 7,458.00 ",
258,2079.08.09,Chemical,135,606906850,Optical Emission Spectrometer Model-AS-S2 Furious Latest Version CCD OES With High Resolution Detector,Asian Techno Traders Pvt. Ltd.,1,Set," 1,509,432.51 "," 1,509,432.51 "," 196,226.23 "," 1,705,658.74 ",,,," 1,705,658.74 ",
259,2079.08.12,Chemical,6347,300081231,Cylinder,Shankar Oxygen Gas Pvt. Ltd.,1,," 20,000.00 "," 20,000.00 "," 2,600.00 "," 22,600.00 ",,,," 22,600.00 ",
260,2079.08.25,Electrical and Electronics,213,604223818,"Installation of 2 KVA, 72V online UPS Including Earthing System",E.Coil Pvt. Ltd.,1,Set," 120,332.00 "," 120,332.00 "," 15,643.16 "," 135,975.16 ",,,," 135,975.16 ",
261,2079.08.27,Chemical,274,614609558,Argon Regulator,Gautam Machinery Suppliers,1,Pcs," 7,500.00 "," 7,500.00 ", 975.00 ," 8,475.00 ",,,," 8,475.00 ",
262,2079.09.01,Electrical and Electronics,25,304205996,Dell Computer Set with 18.5 LED,Emax Technology Pvt. Ltd.,1,Nos," 56,194.69 "," 56,194.69 "," 7,305.31 "," 63,500.00 ",,,," 63,500.00 ",
263,2079.09.01,Electrical and Electronics,25,304205996,Hunt Key Power Screw,Emax Technology Pvt. Ltd.,2,Nos," 1,416.00 "," 2,832.00 ", 368.16 ," 3,200.16 ",,,," 3,200.16 ",
264,2079.09.12,,265,302490509,EPHD220-50ltr,Nepal Auto Traders,1,per Liter," 28,761.00 "," 28,761.00 "," 3,738.93 "," 32,499.93 ",,100,," 32,499.93 ",
265,2079.10.05,Pile,706,606673493,Stud Anchor HAS M6*85 40/30/10,Vie Tec Pvt. Ltd.,500,Pcs, 118.00 ," 59,000.00 "," 7,670.00 "," 66,670.00 ",,,," 66,670.00 ",
266,2079.10.23,Chemical,77,300048584,Vol. Flask 1000ml,Sako Engineering & Technical Trading Pvt. Ltd.,10,Pcs, 735.00 ," 7,350.00 ", 955.50 ," 8,305.50 ",,,," 8,305.50 ",
267,2079.10.23,Chemical,,300048584,Measuring Cylinder Poly 1000 ml,Sako Engineering & Technical Trading Pvt. Ltd.,5,Pcs, 600.00 ," 3,000.00 ", 390.00 ," 3,390.00 ",,,," 3,390.00 ",
268,2079.10.23,Chemical,,300048584,Stop Watch,Sako Engineering & Technical Trading Pvt. Ltd.,4,Pcs, 555.00 ," 2,220.00 ", 288.60 ," 2,508.60 ",,,," 2,508.60 ",
269,2079.11.10,Soil and Aggregate,251,Aimil Marshall Apparatus,Aggregate Crushing Value,Asian Techno Traders Pvt. Ltd.,1,Set," 9,800.00 "," 9,800.00 "," 1,274.00 "," 11,074.00 ",,,," 11,074.00 ",
270,2079.11.16,Bitumen,265,606906850,Aimil UTM Control Valve Assembly,Asian Techno Traders Pvt. Ltd.,1,Nos," 42,629.93 "," 42,629.93 "," 5,541.89 "," 48,171.82 ",,,," 48,171.82 ",
271,2079.11.16,Bitumen,265,606906850,Aimil Gripping Device for Threaded and shouldered,Asian Techno Traders Pvt. Ltd.,1,Nos," 94,336.55 "," 94,336.55 "," 12,263.75 "," 106,600.30 ",,,," 106,600.30 ",
272,2079.11.16,Bitumen,265,606906850,"Aimil Marshall Apparatus 50 KN Single Speed, New Model for 4"" Dia Sample Analog",Asian Techno Traders Pvt. Ltd.,1,Nos," 258,599.22 "," 258,599.22 "," 33,617.90 "," 292,217.12 ",,,," 292,217.12 ",
273,2079.11.16,Bitumen,265,606906850,"Aimil Compaction Mould, Steel , Cylindrical",Asian Techno Traders Pvt. Ltd.,4,Nos," 3,774.90 "," 15,099.60 "," 1,962.95 "," 17,062.55 ",,,," 17,062.55 ",
274,2079.11.16,Bitumen,265,606906850,Aimil Base Plate,Asian Techno Traders Pvt. Ltd.,4,Nos," 2,001.68 "," 8,006.72 "," 1,040.87 "," 9,047.59 ",,,," 9,047.59 ",
275,2079.11.16,Bitumen,265,606906850,Aimil Extension Collar,Asian Techno Traders Pvt. Ltd.,4,Nos," 2,994.07 "," 11,976.28 "," 1,556.92 "," 13,533.20 ",,,," 13,533.20 ",
276,2079.11.16,Bitumen,265,606906850,Aimil  Bitumen Penetration Kit,Asian Techno Traders Pvt. Ltd.,1,Nos," 4,040.30 "," 4,040.30 ", 525.24 ," 4,565.54 ",,,," 4,565.54 ",
277,2079.11.16,Bitumen,265,606906850,Aimil Diamond Impregnated Cutter 300mm dia,Asian Techno Traders Pvt. Ltd.,5,Pcs," 33,413.53 "," 167,067.65 "," 21,718.79 "," 188,786.44 ",,,," 188,786.44 ",
278,2079.11.16,Bitumen,265,606906850,Aimil Adaptor for Mandrills,Asian Techno Traders Pvt. Ltd.,1,Nos," 2,943.34 "," 2,943.34 ", 382.63 ," 3,325.97 ",,,," 3,325.97 ",
279,2079.11.16,Bitumen,265,606906850,Aimil Adaptor for Upper Pin,Asian Techno Traders Pvt. Ltd.,1,Nos," 4,244.89 "," 4,244.89 ", 551.84 ," 4,796.73 ",,,," 4,796.73 ",
280,2079.11.16,Bitumen,264,606906850,"Aimil Asphalt Mixer, 5ltr Capacity",Asian Techno Traders Pvt. Ltd.,1,Nos," 164,214.73 "," 164,214.73 ", -   ," 164,214.73 ",,,," 164,214.73 ",
281,2079.11.28,Soil and Aggregate,401,604295275,Hydrometer,Bagmati Geo System Pvt. Ltd.,5,Nos," 2,450.00 "," 12,250.00 "," 1,592.50 "," 13,842.50 ",,,," 13,842.50 ",
282,2079.11.30,Chemical,106,300048584,Measuring Cylinder Poly 1000 ml,Sako Engineering & Technical Trading Pvt. Ltd.,5,Nos, 600.00 ," 3,000.00 ", 390.00 ," 3,390.00 ",,,," 3,390.00 ",
283,2079.11.30,Chemical,106,300048584,Stop Watch,Sako Engineering & Technical Trading Pvt. Ltd.,4,Nos, 555.00 ," 2,220.00 ", 288.60 ," 2,508.60 ",,,," 2,508.60 ",
284,2079.12.10,Geophysical and Survey,262,604223818,ERT Cable 60m,E.Coil Pvt. Ltd.,1,M," 1,800.00 "," 1,800.00 ", 234.00 ," 2,034.00 ",,,," 2,034.00 ",
285,2079.12.10,Geophysical and Survey,262,604223818,ERT Cable 30m,E.Coil Pvt. Ltd.,2,M, 990.00 ," 1,980.00 ", 257.40 ," 2,237.40 ",,,," 2,237.40 ",
286,2079.12.10,Geophysical and Survey,262,604223818,ERT Cable 10m,E.Coil Pvt. Ltd.,1,M, 450.00 , 450.00 , 58.50 , 508.50 ,,,, 508.50 ,
287,2079.12.10,Geophysical and Survey,262,604223818,Stainless Electrodes,E.Coil Pvt. Ltd.,4,Pcs, 630.00 ," 2,520.00 ", 327.60 ," 2,847.60 ",,,," 2,847.60 ",
288,2079.12.12,Pile,312,606906850,Dial Gauge 0-25mm,Asian Techno Traders Pvt. Ltd.,3,Pcs," 3,200.00 "," 9,600.00 "," 1,248.00 "," 10,848.00 ",,,," 10,848.00 ",
289,2079.12.12,Pile,312,606906850,Dial Gauge 0-25mm,Asian Techno Traders Pvt. Ltd.,3,Pcs," 3,200.00 "," 9,600.00 "," 1,248.00 "," 10,848.00 ",,,," 10,848.00 ",
290,2079.12.12,Pile,312,606906850,Dial Gauge 0-5mm,Asian Techno Traders Pvt. Ltd.,2,Pcs," 6,100.00 "," 12,200.00 "," 1,586.00 "," 13,786.00 ",,,," 13,786.00 ",
291,2079.12.12,Soil and Aggregate,312,606906850,"CBR Mould as ASTM as ASTM is Standard Plated Steel Mould Body with 6"" (152.4MM) Dia ""7"" (177.8MM) Height Supplied Complete with Extension Collar & Performed Base Plate",Asian Techno Traders Pvt. Ltd.,1,Pcs," 11,000.00 "," 11,000.00 "," 1,430.00 "," 12,430.00 ",,,," 12,430.00 ",
292,2079.12.13,Geophysical and Survey,316,606906850,Sesmic Refraction Tomography (SRT) Model. GEA24 (24 Channels 24 Bits With Accessories),Asian Techno Traders Pvt. Ltd.,1,Set," 1,618,177.14 "," 1,618,177.14 "," 210,363.03 "," 1,828,540.17 ",,,," 1,828,540.17 ",
293,2080.01.07,Chemical,360,606906850,Biobase Constant- Temperature Drying Oven BOV -T140C,Asian Techno Traders Pvt. Ltd.,1,Set," 82,000.00 "," 82,000.00 "," 10,660.00 "," 92,660.00 ",,,," 92,660.00 ",
294,2080.01.07,Geophysical and Survey,360,606906850,Brunton Compass,Asian Techno Traders Pvt. Ltd.,1,Pcs," 6,800.00 "," 6,800.00 ", 884.00 ," 7,684.00 ",,,," 7,684.00 ",
295,2080.01.15,Cement and Concrete,384,606906850,Magnetic Stand,Asian Techno Traders Pvt. Ltd.,2,Pcs," 3,300.00 "," 6,600.00 ", 858.00 ," 7,458.00 ",,,," 7,458.00 ",
296,2080.01.21,Rebar Section,391,606906850,Crack Scale,Asian Techno Traders Pvt. Ltd.,1,Pcs, 700.00 , 700.00 , 91.00 , 791.00 ,,,, 791.00 ,
297,2080.01.21,Rebar Section,391,606906850,Crack Tester,Asian Techno Traders Pvt. Ltd.,1,Pcs," 8,200.00 "," 8,200.00 "," 1,066.00 "," 9,266.00 ",,,," 9,266.00 ",
298,2080.01.21,Soil and Aggregate,392,606906850,Mesh 75 Micron ,Asian Techno Traders Pvt. Ltd.,30,Pcs," 1,800.00 "," 54,000.00 "," 7,020.00 "," 61,020.00 ",,,," 61,020.00 ",
299,2080.01.24,Safety,394,606906850,Safety Helmet,Asian Techno Traders Pvt. Ltd.,1,Nos, 300.00 , 300.00 , 39.00 , 339.00 ,,,, 339.00 ,
300,2080.01.24,Safety,394,606906850,Safety Helmet White(en),Asian Techno Traders Pvt. Ltd.,5,Pcs, 325.00 ," 1,625.00 ", 211.25 ," 1,836.25 ",,,," 1,836.25 ",
301,2080.01.24,Safety,394,606906850,Reflective Jacket ,Asian Techno Traders Pvt. Ltd.,6,Nos, 450.00 ," 2,700.00 ", 351.00 ," 3,051.00 ",,,," 3,051.00 ",
302,2080.01.26,Geophysical and Survey,319,604223818,Sonel MRU 30 ERT Machine (Old),E.Coil Pvt. Ltd.,1,Set," 100,000.00 "," 100,000.00 "," 13,000.00 "," 113,000.00 ",,,," 113,000.00 ",
303,2080.01.27,Chemical,7143,301875253,Humidity Meter wireless (Jayna),Ashmita Surgical House,1,Set," 1,061.95 "," 1,061.95 ", 138.05 ," 1,200.00 ",,,," 1,200.00 ",
304,2080.01.27,Chemical,7143,301875253,Digital Multy Thermometer,Ashmita Surgical House,1,Pcs," 1,700.00 "," 1,700.00 ", 221.00 ," 1,921.00 ",,,," 1,921.00 ",
305,2080.01.28,Chemical,188,300298710,Arsh Water Level Indicator 100m Range,Geo-Tech International (P) Ltd.,1,Nos," 26,000.00 "," 26,000.00 "," 3,380.00 "," 29,380.00 ",,,," 29,380.00 ",
306,2080.02.02,Geophysical and Survey,411,606906850,SEISIMAGER/2D SRD REFR SW WGSIES,Asian Techno Traders Pvt. Ltd.,1,Unit," 270,931.89 "," 270,931.89 "," 35,221.15 "," 306,153.04 ",,,," 306,153.04 ",
307,2080.02.02,Geophysical and Survey,411,606906850,SOFTWARE OF SRT MASW (590-00048-01),Asian Techno Traders Pvt. Ltd.,1,Unit," 444,638.50 "," 444,638.50 "," 57,803.01 "," 502,441.51 ",,,," 502,441.51 ",
308,2080.02.18,Rock,431,606906850,Strain Gauge,Asian Techno Traders Pvt. Ltd.,3,Unit," 1,150.00 "," 3,450.00 ", 448.50 ," 3,898.50 ",,,," 3,898.50 ",
309,2080.02.18,Geophysical and Survey,431,606906850,Speedy Moisture Meter,Asian Techno Traders Pvt. Ltd.,1,Set," 5,500.00 "," 5,500.00 ", 715.00 ," 6,215.00 ",,,," 6,215.00 ",
310,2080.02.22,,3049,606906850,Aluminium Profile,Rohit Impex,62.1,Kg, 570.00 ," 35,397.00 "," 4,601.61 "," 39,998.61 ",,,," 39,998.61 ",
311,2080.02.22,,1461,606906850,Aluminium Profile,Rohit Impex,72.42,Kg, 550.00 ," 39,831.00 "," 5,178.03 "," 45,009.03 ",,,," 45,009.03 ",
312,2080.02.31,,479,301396080,Grinder Machine,Machinery and Hand Tools,1,No," 5,310.00 "," 5,310.00 ", 690.30 ," 6,000.30 ",,,," 6,000.30 ",
313,2080.02.32,Chemical,471,603792937,Packing Rod (Rubber),Saurya & Saurabi Enterprises,1,Nos, 800.00 , 800.00 , 104.00 , 904.00 ,,,, 904.00 ,
314,2080.02.32,Chemical,471,603792937,Trichloroethylene,Saurya & Saurabi Enterprises,1,Nos," 4,150.00 "," 4,150.00 ", 539.50 ," 4,689.50 ",,,," 4,689.50 ",
315,2080.03.01,Chemical,475,603792937,Softaning Point Beaker 600 ml,Saurya & Saurabi Enterprises,1,Nos, 495.00 , 495.00 , 64.35 , 559.35 ,,,, 559.35 ,
316,2080.03.01,Chemical,475,603792937,Softaning Point Ring & Ball,Saurya & Saurabi Enterprises,1,Nos," 2,250.00 "," 2,250.00 ", 292.50 ," 2,542.50 ",,,," 2,542.50 ",
317,2080.03.04,,477,603792937,Multi Digital Thermometer,Saurya & Saurabi Enterprises,1,Nos," 2,025.00 "," 2,025.00 ", 263.25 ," 2,288.25 ",,,," 2,288.25 ",
318,2080.03.04,,477,603792937,Marshal Filter Paper 100 mm,Saurya & Saurabi Enterprises,1,Nos, 340.00 , 340.00 , 44.20 , 384.20 ,,,, 384.20 ,
319,2080.03.04,Chemical,477,603792937,"Glass Funnel 4""",Saurya & Saurabi Enterprises,1,Nos, 405.00 , 405.00 , 52.65 , 457.65 ,,,, 457.65 ,
320,2080.03.04,,477,603792937,Specific Gravity Density Bottle 50 ml,Saurya & Saurabi Enterprises,2,Nos, 775.00 ," 1,550.00 ", 201.50 ," 1,751.50 ",,,," 1,751.50 ",
321,2080.03.04,,477,603792937,Xylene 500 ml,Saurya & Saurabi Enterprises,1,Nos," 1,050.00 "," 1,050.00 ", 136.50 ," 1,186.50 ",,,," 1,186.50 ",
323,2080.03.14,Chemical,8331,301875253,Distillation Set 500 ML,Ashmita Surgical House,1,Nos," 2,800.00 "," 2,800.00 ", 364.00 ," 3,164.00 ",,,," 3,164.00 ",
325,2080.03.15,Pull Out ,497,606906850,Aimil Pullout Test Apparatus 500 KN Capacity,Asian Techno Traders Pvt. Ltd.,1,Set," 385,029.80 "," 385,029.80 "," 50,053.87 "," 435,083.67 ",,,," 435,083.67 ",
326,2080.03.15,Pull Out ,497,606906850,Aimil Spacer for 500 KN,Asian Techno Traders Pvt. Ltd.,1,Nos," 8,651.95 "," 8,651.95 "," 1,124.75 "," 9,776.70 ",,,," 9,776.70 ",
328,2080.04.17,HDPE Pipe,,, Hot water  Bath,Deepak PolyPlast Pvt. Ltd.,1,Set,," 3,518,034.51 "," 457,344.49 "," 3,975,379.00 ",,,," 3,975,379.00 ",
329,2080.04.17,HDPE Pipe,,,Cool Water Bath,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
330,2080.04.17,HDPE Pipe,,, Hydrostatic  Pressure  Tester,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
331,2080.04.17,HDPE Pipe,,,Contour Cutter Machine,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
332,2080.04.17,HDPE Pipe,,,Manual Pres,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
333,2080.04.17,HDPE Pipe,,,Free Falling Dark Impact  Tester,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
334,2080.04.17,HDPE Pipe,,,UTM -Pipe,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
335,2080.04.17,HDPE Pipe,,, Butt Fusion Machine,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
336,2080.04.17,HDPE Pipe,,,Carbon Black  Content  Tester,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
337,2080.04.17,HDPE Pipe,,,Melt Flow Index  Tester,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
338,2080.04.17,HDPE Pipe,,, Oxidation Induction  Time Tester,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
339,2080.04.17,HDPE Pipe,,,Nitrogen  Cylinder,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
340,2080.04.17,HDPE Pipe,,,Oxygen  Cylinder,Deepak PolyPlast Pvt. Ltd.,,,,,,,,,, -   ,
342,2080.05.23,Pile,21,304468494,Plate 20mm,Bholenath Scrap Center,139.5,kg, 125.00 ," 17,437.50 "," 2,266.88 "," 19,704.38 ",,,," 19,704.38 ",
343,2080.05.23,Pile,21,304468494,Plate 16mm,Bholenath Scrap Center,106.7,kg, 125.00 ," 13,337.50 "," 1,733.88 "," 15,071.38 ",,,," 15,071.38 ",
345,2080.05.27,Electrical and Electronics,451,601128332,Samsung LED Tv 65' ,Inspirange Electronics,1,Nos," 124,070.00 "," 124,070.00 "," 16,129.10 "," 140,199.10 ",,,," 140,199.10 ",
347,2080.06.25,Cement and Concrete,447,300054392,"Laboratory Cement AutoClave, Length Comparator,Shrinkage Bar Mould, Cube Mould",H.G. Ent. Pvt. Ltd.,1,Nos," 305,019.00 "," 305,019.00 "," 39,652.47 "," 344,671.47 ",,,," 344,671.47 ",
349,2080.07.22,Non Destructive,45,301401573,"Corrosion Half Cell Potental Sensor Kit, Profometer Corrosion Half-Cell Potental Rod Electrode Sensor Kit
Profometer Rebar diameter & cover meter PM 8000 lite",Acme Techno Trade Concern,1,Nos," 1,650,000.00 "," 1,650,000.00 "," 214,500.00 "," 1,864,500.00 ",,,," 1,864,500.00 ",
351,2080.08.13,Non Destructive,109,606906850,Flat Jack Kit System,Asian Techno Traders Pvt. Ltd.,1,Nos," 162,184.11 "," 162,184.11 "," 21,083.93 "," 183,268.04 ",,,," 183,268.04 ",
352,2080.08.13,Non Destructive,109,606906850,Flat Jacks Sem,Asian Techno Traders Pvt. Ltd.,12,Nos," 12,544.70 "," 150,536.40 "," 19,569.73 "," 170,106.13 ",,,," 170,106.13 ",
353,2080.08.13,Non Destructive,109,606906850,Mechanical Strain Guage,Asian Techno Traders Pvt. Ltd.,1,Nos," 188,438.88 "," 188,438.88 "," 24,497.05 "," 212,935.93 ",,,," 212,935.93 ",
354,2080.08.13,Non Destructive,109,606906850,Flex Hose,Asian Techno Traders Pvt. Ltd.,1,Nos," 27,746.73 "," 27,746.73 "," 3,607.07 "," 31,353.80 ",,,," 31,353.80 ",
355,2080.08.13,Non Destructive,109,606906850,Cylinder 10ton,Asian Techno Traders Pvt. Ltd.,1,Nos," 48,421.79 "," 48,421.79 "," 6,294.83 "," 54,716.62 ",,,," 54,716.62 ",
357,2080.08.25,Soil and Aggregate,664,300054392,Laboratory Electric Oven,H.G. Ent. Pvt. Ltd.,1,Nos," 70,000.00 "," 70,000.00 "," 9,100.00 "," 79,100.00 ",,,," 79,100.00 ",
359,2080.09.24,HDPE Pipe,308,614609558,Motor Saw,Gautam Machinery Suppliers,1,Nos," 27,433.63 "," 27,433.63 "," 3,566.37 "," 31,000.00 ",,,," 31,000.00 ",
361,2080.09.25,Geophysical and Survey,151,606906850,Geological Hammer,Asian Techno Traders Pvt. Ltd.,1,Nos," 5,950.00 "," 5,950.00 ", 773.50 ," 6,723.50 ",,,," 6,723.50 ",
362,2080.09.25,Geophysical and Survey,151,606906850,50m fiberglass Measuring Tape,Asian Techno Traders Pvt. Ltd.,1,Nos," 2,300.00 "," 2,300.00 ", 299.00 ," 2,599.00 ",,,," 2,599.00 ",
364,2080.10.02,Cement and Concrete,159,606906850,Magnetic Stand,Asian Techno Traders Pvt. Ltd.,5,Nos," 3,300.00 "," 16,500.00 "," 2,145.00 "," 18,645.00 ",,,," 18,645.00 ",
365,2080.10.02,Soil and Aggregate,159,606906850,Dial Guage 0-25mm,Asian Techno Traders Pvt. Ltd.,6,Nos," 3,200.00 "," 19,200.00 "," 2,496.00 "," 21,696.00 ",,,," 21,696.00 ",
366,2080.10.02,Soil and Aggregate,159,606906850,Dial Guage 0-50mm,Asian Techno Traders Pvt. Ltd.,4,Nos," 9,000.00 "," 36,000.00 "," 4,680.00 "," 40,680.00 ",,,," 40,680.00 ",
369,2080.10.15,,321,614609558,Belt Sander,Gautam Machinery Suppliers,1,Nos," 20,796.46 "," 20,796.46 "," 2,703.54 "," 23,500.00 ",,,," 23,500.00 ",
371,2080.10.19,Cement and Concrete,176,606906850,Magnetic Stand,Asian Techno Traders Pvt. Ltd.,4,Nos," 3,300.00 "," 13,200.00 "," 1,716.00 "," 14,916.00 ",,,," 14,916.00 ",
373,2080.10.24,,181,606906850,Dial Guage 0-50mm,Asian Techno Traders Pvt. Ltd.,2,Pcs," 9,000.00 "," 18,000.00 "," 2,340.00 "," 20,340.00 ",,,," 20,340.00 ",
375,2080.10.24,Soil and Aggregate,181,606906850,Dial Guage 0-50mm,Asian Techno Traders Pvt. Ltd.,4,Pcs," 9,000.00 "," 36,000.00 "," 4,680.00 "," 40,680.00 ",,,," 40,680.00 ",
377,2080.12.21,Geophysical and Survey,232,606906850,Garmin GPS ETREX-SE,Asian Techno Traders Pvt. Ltd.,1,Pcs," 30,000.00 "," 30,000.00 "," 3,900.00 "," 33,900.00 ",,,," 33,900.00 ",
378,2080.12.21,Geophysical and Survey,232,606906850,Compass DOL-8,Asian Techno Traders Pvt. Ltd.,1,Pcs," 5,700.00 "," 5,700.00 ", 741.00 ," 6,441.00 ",,,," 6,441.00 ",
380,2080.12.21,Geophysical and Survey,233,606906850,Controls Concrete Hammer Test Hammer,Asian Techno Traders Pvt. Ltd.,1,PCS," 55,877.34 "," 55,877.34 "," 7,264.05 "," 63,141.39 ",,,," 63,141.39 ",
382,2080.12.30,Geophysical and Survey,238,606906850,Geological Hammer Pointed Type PH -20,Asian Techno Traders Pvt. Ltd.,1,Nos," 11,650.00 "," 11,650.00 "," 1,514.50 "," 13,164.50 ",,,," 13,164.50 ",
384,2081.01.17,Furniture,433,602809719,Office Table,Furniture One Store,8,Pcs," 15,488.00 "," 123,904.00 "," 16,107.52 "," 140,011.52 ",,,," 140,011.52 ",
386,2081.01.17,Furniture,434,602809719,Office Table,Furniture One Store,4,Pcs," 15,488.00 "," 61,952.00 "," 8,053.76 "," 70,005.76 ",,,," 70,005.76 ",
387,2081.01.17,Furniture,434,602809719,Chair,Furniture One Store,10,Pcs," 4,602.00 "," 46,020.00 "," 5,982.60 "," 52,002.60 ",,,," 52,002.60 ",
389,2081.01.28,Soil and Aggregate,429,604295275,Direct Shear Apparatus,Bagmati Geo System Pvt. Ltd.,1,Set," 145,000.00 "," 145,000.00 "," 18,850.00 "," 163,850.00 ",,,," 163,850.00 ",
391,No Date,Cement and Concrete,,,Wrench,No Bill,,,,,,,,,, -   ,
